Domain,team,owner,plan,end_date,CASHGAME,CHALONG,PLAYGAME,Total Register,Total Topup,Regis - May,Topup - May,Regis - June,Topup - June,Regis - July,Topup - July,CVR,First Seen - CG,First Seen - CL,First Seen - PG,Date Gap,unique visits
playgame168.bet,Internal,Fern,B,20/05/2025,int7928,int7928,int7928,0,0,0,0,0,0,0,0,,,,,,7
fan-ciful.org,Internal,Aum_int,IN,21/05/2025,int9941,int9941,int9941,0,0,0,0,0,0,0,0,,,,,,4
ice-pearls.org,Internal,Pee_int,IN,21/05/2025,int9945,int9945,int9945,0,0,0,0,0,0,0,0,,,,,,7
haunting-me.org,Internal,Ming,C,21/05/2025,int9949,int9949,int9949,0,0,0,0,0,0,0,0,,,,,,1
kingofsorrowmovie.com,Internal,Pim,C,21/05/2025,int10181,int10181,int10181,0,0,0,0,0,0,0,0,,,,,,10
deliveringthegoodsmovie.com,Internal,Tuk,IN,21/05/2025,int10188,int10188,int10188,0,0,0,0,0,0,0,0,,,,,,7
forbiddenlovefilm.com,Internal,Tuk,B,20/05/2025,int10189,int10189,int10189,0,0,0,0,0,0,0,0,,,,,,6
bigmistakemovie.com,Internal,Ming,B,20/05/2025,int10222,int10222,int10222,0,0,0,0,0,0,0,0,,,,,,7
spacefags.com,Internal,Pee_int,B,20/05/2025,int10242,int10242,int10242,2,0,0,0,0,0,2,0,0.00%,,,12/07/2025,53,15
